imdb_id,tmdb_id,tvdb_id,tvmaze_id
tt0042092,21192,430694,
tt0042093,18010,77404,
tt0042094,1048,73091,23503
tt0042095,,477584,
tt0042097,8080,76170,22327
tt0042098,23931,77483,
tt0042099,325447,389654,
tt0042100,,236771,10627
tt0042105,,319572,
tt0042106,28383,328209,
tt0042107,19080,,
tt0042108,17620,454252,
tt0042109,56588,,
tt0042110,11451,78281,4653
tt0042111,30667,70790,21693
tt0042112,325472,,
tt0042114,4439,73923,3825
tt0042116,10151,72322,21690
tt0042118,44830,,
tt0042119,30232,,
tt0042123,12277,,69173
tt0042124,,,74693
tt0042125,17571,78423,
tt0042130,10243,,
tt0042137,30088,77548,
tt0042138,15562,76661,92763
tt0042139,14722,72440,63252
tt0042140,16333,,
tt0042141,14944,76468,30141
tt0042142,4219,293348,
tt0042143,14192,,
tt0042146,45040,,
tt0042147,21081,,
tt0042148,44491,,
tt0042151,21328,74064,27231
tt0042152,25945,71273,
tt0042153,7009,,
tt0042156,35488,305860,
tt0042158,28056,347407,
tt0042159,21582,71218,18431
tt0042167,39426,,
tt0042168,26663,77132,9612
tt0042170,,315901,
tt0042171,4473,71696,2197
tt0042172,10380,326865,
tt0042173,12331,77737,40956
tt0042174,44930,,
tt0042211,,168321,7077
tt0043168,39353,,
tt0043169,17539,77512,4971
tt0043170,13658,76683,22149
tt0043173,24366,,
tt0043175,11111,71999,26741
tt0043178,15589,,
tt0043182,,77339,56313
tt0043183,18700,,
tt0043184,16331,,
tt0043185,14080,,
tt0043186,232923,,
tt0043188,22236,,
tt0043189,9298,,
tt0043192,13765,78242,
tt0043194,3716,72763,2122
tt0043199,7021,292632,
tt0043201,,313309,
tt0043202,7162,,
tt0043204,11448,76409,35128
tt0043208,2730,70584,3824
tt0043210,,338033,56243
tt0043214,2872,,
tt0043215,,256474,
tt0043217,13236,,
tt0043219,29378,,
tt0043222,325971,,
tt0043223,9231,77463,60721
tt0043224,10534,70794,6058
tt0043225,14530,77296,2149
tt0043227,44991,,28607
tt0043228,11442,76430,
tt0043229,1597,,34972
tt0043230,43692,,
tt0043232,11383,76541,2136
tt0043233,,408212,
tt0043234,35954,71897,10657
tt0043238,15487,77858,6620
tt0043241,21832,,
tt0043242,,326619,
tt0043244,3007,257246,
tt0043245,1129,,
tt0043247,22136,,
tt0043249,18722,,
tt0044229,11821,77677,14572
tt0044230,952,71598,27366
tt0044231,12662,77403,1306
tt0044237,7326,,
tt0044238,29043,,
tt0044242,22944,,
tt0044247,8414,,
tt0044248,18696,,61412
tt0044250,,305576,56078
tt0044251,13430,,
tt0044254,8550,,62297
tt0044257,25288,70391,
tt0044259,11376,76540,
tt0044260,25743,,
tt0044261,13392,375721,
tt0044262,19052,402771,34908
tt0044263,1737,,58257
tt0044264,22097,236761,77156
tt0044265,875,76597,11800
tt0044266,4779,76447,
tt0044267,28373,,
tt0044269,14454,,24476
tt0044270,4862,71690,7024
tt0044272,950,292166,
tt0044273,27679,,
tt0044274,15099,449465,
tt0044275,10882,,
tt0044277,29458,,25758
tt0044279,5663,250216,24107
tt0044281,14406,,
tt0044282,23043,315894,31557
tt0044283,11766,77200,24065
tt0044284,3768,,
tt0044287,15144,73493,44555
tt0044289,13403,77241,31779
tt0044290,26468,,
tt0044291,18589,,
tt0044294,29078,,
tt0044296,10315,78285,
tt0044298,1709,70708,9564
tt0044299,11910,,
tt0044301,,394536,77928
tt0044305,8224,,
tt0044308,17895,,
tt0044311,,,27732
tt0045365,18711,,
tt0045367,24799,,
tt0045369,31464,,
tt0045372,,276596,
tt0045373,1047,76184,59123
tt0045374,8552,,
tt0045378,17514,365245,
tt0045379,11444,,
tt0045380,5975,78709,58443
tt0045381,39151,,
tt0045383,35374,,63413
tt0045385,19449,440123,
tt0045387,,,25234
tt0045395,4520,,18432
tt0045397,12045,329400,
tt0045398,21520,251552,59997
tt0045399,30015,,
tt0045402,29370,,
tt0045403,39575,,
tt0045405,45024,,
tt0045406,22902,73115,24263
tt0045407,9459,71622,
tt0045408,23240,74786,
tt0045409,27616,76561,55226
tt0045410,981,73496,12740
tt0045411,21585,,38177
tt0045414,31165,,43129
tt0045415,37592,277228,75384
tt0045416,17643,,
tt0045419,21545,394537,79612
tt0045420,34794,,
tt0045421,6591,,80832
tt0045424,8144,,
tt0045428,26904,,
tt0045430,12238,,62485
tt0045431,13588,71630,76057
tt0045434,,77429,61791
tt0045435,10666,,
tt0045436,352,77791,11574
tt0045439,7399,395925,
tt0045446,14304,,
tt0045447,12145,77346,11661
tt0045449,12450,,
tt0045450,32979,,
tt0045453,18701,399173,
tt0045455,23878,73457,74796
tt0045456,14927,,22325
tt0045458,13178,77065,18427
tt0046576,10794,76529,10604
tt0046578,13577,77365,9475
tt0046579,56613,,
tt0046580,7703,,59921
tt0046581,8342,,
tt0046582,27893,284070,
tt0046583,10568,,
tt0046584,11389,,42330
tt0046585,26445,78703,42793
tt0046587,12447,,
tt0046588,21150,78711,58442
tt0046591,31184,,58595
tt0046592,1020,77565,42873
tt0046593,4231,71625,
tt0046594,38237,,
tt0046596,,322743,67202
tt0046597,15039,,
tt0046600,10118,77621,4537
tt0046601,,448688,
tt0046603,17580,,
tt0046604,26027,73128,59124
tt0046606,14490,,
tt0046607,31124,,
tt0046608,23470,,
tt0046609,37776,,
tt0046610,30085,76054,59881
tt0046613,22225,,
tt0046616,28667,,
tt0046617,5368,70762,4968
tt0046618,12874,76636,48889
tt0046620,34781,420967,62788
tt0046623,13568,,18443
tt0046624,21505,74651,
tt0046625,26129,272868,29760
tt0046632,44677,,
tt0046634,27870,253871,63298
tt0046635,14595,,
tt0046636,28701,,
tt0046637,14668,,79081
tt0046638,23048,277619,42980
tt0046639,13842,70515,26747
tt0046640,36696,,
tt0046641,4673,,
tt0046642,6560,73529,22618
tt0046643,14972,73129,
tt0046645,21529,292401,
tt0046647,21560,78108,16191
tt0046648,32998,,
tt0046652,4029,452612,58931
tt0046654,40810,,
tt0046658,13890,84130,16606
tt0046659,13690,144131,75647
tt0046660,10213,,
tt0046662,1723,,
tt0046665,24268,73032,
tt0046666,29929,,
tt0046667,39602,,
tt0047701,12020,,
tt0047702,10642,,56284
tt0047703,5609,77511,4970
tt0047704,,336395,64160
tt0047705,27513,117261,36512
tt0047706,10393,70571,10804
tt0047707,11447,76407,
tt0047708,5273,73614,3738
tt0047712,,401074,
tt0047713,35401,,75930
tt0047714,5201,,
tt0047715,15094,,
tt0047716,16200,346846,75961
tt0047717,17087,77401,56745
tt0047718,1222,78314,
tt0047719,24115,,58261
tt0047720,947,76543,4040
tt0047723,12073,78717,35891
tt0047724,21504,,
tt0047726,18435,,40954
tt0047727,28221,451984,76150
tt0047728,4399,,9975
tt0047730,22066,70696,
tt0047731,1249,,76309
tt0047732,23185,,
tt0047733,17534,77438,77151
tt0047734,3232,76761,53695
tt0047735,,253144,
tt0047736,3713,73559,782
tt0047738,28584,318659,
tt0047739,11920,190051,2125
tt0047741,121721,,
tt0047742,251089,448547,
tt0047743,29202,,73966
tt0047745,21868,76494,
tt0047746,15263,399368,
tt0047747,31938,71239,60820
tt0047748,,,75192
tt0047749,3157,77134,
tt0047750,12337,77363,9474
tt0047751,25278,75416,15065
tt0047752,11188,73099,17436
tt0047753,135236,315947,
tt0047754,3601,,
tt0047755,,,24676
tt0047756,13126,72152,49076
tt0047757,2208,76169,22323
tt0047758,12089,,
tt0047760,15010,,
tt0047761,22106,,74309
tt0047762,14964,77430,24025
tt0047763,11747,76688,19824
tt0047764,23586,,
tt0047766,1565,94421,11583
tt0047767,1602,77375,31783
tt0047768,27575,77460,61163
tt0047770,,298210,
tt0047771,28390,77895,76558
tt0047773,33378,,56744
tt0047775,12001,71204,62324
tt0047776,,319058,
tt0047777,,78776,
tt0047780,21576,,75607
tt0047781,13232,,16189
tt0047783,28376,,
tt0047785,37699,,
tt0047786,11418,,
tt0048837,39700,,
tt0048838,14590,276506,18670
tt0048839,13476,78656,36078
tt0048840,13508,77242,16100
tt0048841,12154,78586,28388
tt0048842,7633,306619,37753
tt0048845,910,71984,17907
tt0048847,14000,,
tt0048848,13870,70767,22145
tt0048849,14661,,
tt0048850,12033,78691,28387
tt0048855,14286,,4267
tt0048859,19345,417942,
tt0048860,5429,70810,
tt0048862,94012,286498,
tt0048863,13166,77240,30232
tt0048868,34507,,59996
tt0048872,19342,425707,
tt0048878,14881,,
tt0048879,17645,76684,
tt0048880,13602,71258,
tt0048882,127467,,
tt0048885,26321,334705,
tt0048886,21711,,
tt0048887,18001,,
tt0048888,1128,,
tt0048889,32030,,
tt0048890,30127,,
tt0048892,,,39495
tt0048893,11168,73114,
tt0048894,64269,,
tt0048895,1671,330921,
tt0048898,14582,314998,23955
tt0048899,14575,,
tt0048901,14904,,56822
tt0048903,21552,,75568
tt0048904,28973,307619,
tt0048907,5173,75871,7023
tt0048909,2696,,
tt0048913,11441,269400,55769
tt0048914,14127,,75164
tt0048915,31491,,
tt0048916,14328,72341,9472
tt0049991,17555,77519,16037
tt0049992,11477,76433,60750
tt0049993,4821,72786,2120
tt0049996,10990,77484,17434
tt0049999,19300,358732,37941
tt0050000,30917,77407,22154
tt0050002,5960,77412,26277
tt0050004,35375,,
tt0050005,28697,72969,69100
tt0050006,13909,77376,22147
tt0050007,21509,,
tt0050009,14352,71299,23466
tt0050010,13669,141921,18602
tt0050011,18524,361224,41426
tt0050012,14966,,
tt0050013,21309,,76248
tt0050015,44255,336940,59169
tt0050016,8736,,73854
tt0050017,12576,76135,
tt0050018,24122,71205,
tt0050020,21549,,77183
tt0050021,14829,249152,
tt0050022,16728,76217,18013
tt0050023,,284949,2908
tt0050024,18508,,
tt0050025,10980,72097,3360
tt0050026,13718,78331,28385
tt0050030,26552,,58930
tt0050032,5133,71575,2128
tt0050033,1832,414282,
tt0050035,12512,70688,
tt0050037,953,70443,3617
tt0050038,30959,316808,22657
tt0050039,3654,114721,53634
tt0050042,17979,,
tt0050043,13652,72760,38136
tt0050045,31423,418671,
tt0050046,12017,74381,
tt0050047,25757,,
tt0050049,25643,77338,79041
tt0050050,34511,,
tt0050051,4177,70589,909
tt0050052,35072,,
tt0050053,10458,77603,14947
tt0050055,13537,76984,21769
tt0050056,11574,70454,
tt0050057,12519,293358,
tt0050058,,465537,
tt0050059,30934,,
tt0050061,18127,272626,57719
tt0050062,17516,256192,20537
tt0050063,13893,76556,4377
tt0050064,21506,71783,17190
tt0050065,26167,70546,41208
tt0050066,13795,76545,28162
tt0050067,11562,76794,18960
tt0050068,6466,,
tt0050069,14412,76542,14888
tt0050070,219883,,
tt0050071,980,,16184
tt0050072,19194,405364,
tt0050073,6081,76974,8420
tt0050074,21558,,60729
tt0050077,13981,72130,61181
tt0050079,4681,74683,4262
tt0051180,90251,271865,
tt0051247,925,73384,6272
tt0051249,11291,,46364
tt0051251,14696,76602,57531
tt0051253,30762,,
tt0051256,31871,,
tt0051257,548,76427,7268
tt0051260,10845,,
tt0051261,12789,70414,22146
tt0051262,14151,,77066
tt0051263,6848,77413,33140
tt0051265,42487,248911,
tt0051266,14154,,58309
tt0051267,10649,77779,24644
tt0051268,30888,,
tt0051270,22750,358546,
tt0051272,13884,,
tt0051273,14034,74590,16098
tt0051274,14628,,42748
tt0051275,242868,,
tt0051276,229,310284,
tt0051277,21873,77597,
tt0051279,6496,,
tt0051282,18008,70541,
tt0051283,967,472214,5754
tt0051285,28315,78567,3586
tt0051286,7748,77500,27446
tt0051287,14407,,56086
tt0051288,56392,,
tt0051290,13887,71211,3614
tt0051292,14284,293116,35960
tt0051293,5908,,38770
tt0051297,3782,76686,14401
tt0051298,,71206,
tt0051299,8631,78469,37373
tt0051301,10305,76506,3702
tt0051304,21543,,
tt0051305,6143,94431,13467
tt0051307,12919,365242,62295
tt0051308,13859,72089,3877
tt0051309,13649,77265,37056
tt0051310,21149,70526,28391
tt0051311,5050,75065,3710
tt0051312,18768,76432,31778
tt0051317,216983,77261,55165
tt0051320,14763,77446,56283
tt0051321,18173,,
tt0051322,17541,,
tt0051324,,279922,
tt0051325,6841,,41330
tt0051327,13837,75724,4380
tt0051328,8591,76530,27613
tt0051329,11388,71209,16102
tt0051330,14995,,
tt0052439,29305,375065,45924
tt0052440,11720,70592,57369
tt0052441,13806,77473,22150
tt0052442,10377,76479,18552
tt0052443,208197,216131,
tt0052445,13895,71207,4379
tt0052447,18695,,56600
tt0052448,15668,,57640
tt0052449,13815,77378,22153
tt0052450,23239,318001,40027
tt0052451,1018,73378,4378
tt0052452,,357324,
tt0052453,1030,73386,
tt0052454,22542,,
tt0052455,17533,71289,56781
tt0052457,25897,,62775
tt0052458,25025,76745,89404
tt0052459,84711,,49396
tt0052460,19079,292200,
tt0052461,9985,77891,2121
tt0052462,13778,73500,58609
tt0052463,14781,77778,28692
tt0052464,18021,76452,
tt0052465,24869,248303,59880
tt0052466,17644,448515,79700
tt0052467,,70418,
tt0052468,10950,73269,79715
tt0052472,5367,70432,6273
tt0052473,10145,287986,
tt0052474,14497,,79699
tt0052475,12025,73828,42815
tt0052478,14579,77693,17983
tt0052479,5983,,21767
tt0052481,13899,70780,4969
tt0052483,14656,78445,79727
tt0052484,8584,,
tt0052485,13824,70464,20524
tt0052486,16285,,
tt0052487,14253,,
tt0052488,19964,,35378
tt0052489,21644,,
tt0052490,221,78133,4965
tt0052491,11654,76635,40007
tt0052492,,,74955
tt0052493,12499,77374,3511
tt0052494,1829,,3698
tt0052496,15209,403592,
tt0052498,4105,,79193
tt0052500,28916,,74000
tt0052501,8066,70497,22642
tt0052503,,74255,
tt0052504,10952,70635,3488
tt0052505,13844,76434,
tt0052506,14105,76663,3876
tt0052507,1025,,5658
tt0052508,6837,78617,16105
tt0052509,66500,85164,
tt0052511,27907,76436,87756
tt0052512,20431,,
tt0052514,32919,399340,
tt0052515,28320,70557,59327
tt0052516,,341481,34742
tt0052517,16936,71263,24749
tt0052518,27826,,74446
tt0052519,8549,428040,79519
tt0052520,6357,73587,787
tt0052522,2774,77696,2130
tt0052523,28228,255915,28281
tt0052525,14182,,79581
tt0053478,39924,341610,
tt0053479,106,77754,3853
tt0053480,7073,380416,47342
tt0053481,11437,,18599
tt0053482,21672,296546,
tt0053483,14866,,
tt0053485,17494,70687,
tt0053486,8773,74567,
tt0053487,7308,,
tt0053488,328623,338929,21978
tt0053489,236147,,
tt0053490,,413603,60022
tt0053491,1929,77654,
tt0053492,19188,,
tt0053493,11768,,
tt0053494,291,71565,4139
tt0053495,8594,,65400
tt0053496,1465,76164,16146
tt0053497,18002,71959,17456
tt0053498,32060,76988,56779
tt0053499,,451985,
tt0053501,229920,253950,
tt0053502,1996,76171,2143
tt0053504,25098,,
tt0053505,13701,73498,42837
tt0053506,17464,349685,37702
tt0053507,18452,,70036
tt0053508,7484,77264,
tt0053509,22445,77327,
tt0053510,20018,74412,27050
tt0053511,4680,,75165
tt0053512,16938,,
tt0053513,18169,335816,
tt0053515,15085,,21974
tt0053516,7421,77486,28952
tt0053517,8480,,
tt0053520,,420143,41867
tt0053521,28065,77474,39669
tt0053522,13412,77329,
tt0053523,,,76696
tt0053524,30862,,
tt0053525,1530,71404,7341
tt0053526,13820,,
tt0053527,8270,,61843
tt0053528,17442,76451,16186
tt0053529,10594,,42874
tt0053530,30488,,58971
tt0053531,26012,,
tt0053533,14091,,59864
tt0053534,2181,70595,4382
tt0053535,63818,,
tt0053537,14261,78620,17437
tt0053538,24602,251715,
tt0053539,26892,,56087
tt0053540,2627,70787,6274
tt0053542,8217,76638,23952
tt0053543,23177,70547,35892
tt0053544,6770,77443,21770
tt0053545,14457,77506,
tt0053546,12272,72692,6727
tt0053547,32908,,74078
tt0053548,56356,,
tt0053549,,,85151
tt0053551,3524,70385,28951
tt0053553,33038,,
tt0053554,24980,,63299
tt0054509,13363,,
tt0054510,7472,,18596
tt0054511,11433,71341,6921
tt0054512,8246,324570,29347
tt0054513,21598,76539,21853
tt0054514,1842,77104,18513
tt0054515,33383,77513,22151
tt0054517,,71755,49087
tt0054518,2473,71020,1929
tt0054519,13897,71655,17183
tt0054521,11734,72386,68215
tt0054522,35226,423942,
tt0054525,8290,315243,74960
tt0054526,383,70615,17185
tt0054527,3571,75025,21968
tt0054528,3727,77869,6270
tt0054529,,350901,40336
tt0054531,11515,73282,17184
tt0054532,250,76739,
tt0054533,2132,77041,3327
tt0054534,13346,275055,
tt0054535,17362,73451,15251
tt0054537,13514,,76273
tt0054539,14040,343077,42981
tt0054540,14707,,3574
tt0054541,40733,183011,
tt0054542,8319,77185,
tt0054543,14443,,76424
tt0054544,8329,,74551
tt0054545,10492,74067,4538
tt0054546,23190,338013,
tt0054548,8157,,61228
tt0054550,8385,77425,26276
tt0054552,7238,73056,24321
tt0054555,8128,,74692
tt0054556,27981,333309,34909
tt0054557,453,78045,4133
tt0054558,14167,76525,
tt0054559,22736,,74337
tt0054560,5018,70823,
tt0054563,17980,,
tt0054564,28699,,
tt0054565,7440,,
tt0054566,6676,,
tt0054567,551,81801,5915
tt0054568,9473,,27077
tt0054569,29369,346817,
tt0054570,8245,,
tt0054572,4232,76172,5764
tt0054573,14587,70664,75674
tt0054574,15146,74937,17853
tt0054575,15049,,74451
tt0054577,12182,78467,16033
tt0054578,17649,70778,16099
tt0054579,7401,77105,44752
tt0054580,,,47635
tt0054583,16581,,
tt0054921,77453,265007,
tt0054982,,315772,
tt0055641,42997,412649,
tt0055656,14868,70535,
tt0055657,21728,74488,3739
tt0055658,39848,167251,
tt0055659,5090,78368,6927
tt0055661,8975,400726,
tt0055662,1930,71471,2139
tt0055663,7861,73519,3529
tt0055665,,74832,3653
tt0055666,4316,73534,1462
tt0055667,3980,71261,21976
tt0055668,18774,,56285
tt0055669,8615,76945,8824
tt0055671,7918,76640,25235
tt0055672,10782,,73855
tt0055673,4378,70828,5916
tt0055674,17934,,
tt0055675,213,77316,21508
tt0055676,8266,,46566
tt0055677,42983,95161,
tt0055678,4877,248305,11422
tt0055679,20982,77564,
tt0055680,8598,,44194
tt0055682,26854,255191,
tt0055683,2362,76204,2145
tt0055685,16199,,
tt0055686,2144,70695,14377
tt0055687,10954,73598,
tt0055688,99709,,
tt0055689,11258,77664,6269
tt0055690,6175,77433,74279
tt0055691,6744,299678,19388
tt0055692,17982,74430,74691
tt0055693,7900,,55497
tt0055694,18480,74934,59923
tt0055697,8028,,
tt0055698,6646,74620,
tt0055699,13035,,74734
tt0055700,5980,,
tt0055701,4333,75134,3878
tt0055702,15057,70593,79664
tt0055703,7940,,28664
tt0055705,14551,,55309
tt0055706,,377188,
tt0055708,2261,70334,15884
tt0055710,10180,70594,8421
tt0055713,5958,70403,27765
tt0055714,17492,,
tt0056737,3176,76567,13451
tt0056739,10826,,
tt0056740,24708,,
tt0056741,14855,77798,
tt0056742,11576,76490,
tt0056743,16377,77369,
tt0056745,945,76697,6991
tt0056746,8609,,74983
tt0056747,13866,77258,58549
tt0056748,12928,75694,56036
tt0056749,26459,344713,
tt0056751,121,76107,766
tt0056752,1151,385580,
tt0056753,10992,77309,
tt0056754,12030,,
tt0056755,10207,70795,17406
tt0056756,20622,,
tt0056757,10083,75258,7150
tt0056758,987,75332,4189
tt0056760,6019,73415,
tt0056761,1247,321794,76409
tt0056762,7931,,56037
tt0056763,10834,,
tt0056764,25669,292035,
tt0056765,35467,400743,
tt0056766,26410,,
tt0056767,11760,78577,14905
tt0056768,1627,76689,
tt0056769,154814,408929,57039
tt0056770,1040,,
tt0056771,14387,76641,22165
tt0056772,,459544,
tt0056773,2790,74078,11570
tt0056774,14086,,39481
tt0056775,3882,71778,4512
tt0056777,21567,71699,2147
tt0056778,12444,72265,
tt0056779,7565,,
tt0056780,3346,71569,2134
tt0056782,8009,,42909
tt0056783,14980,,79242
tt0056784,10953,250384,68606
tt0056785,25762,,
tt0056786,,345157,48283
tt0056787,4317,72463,56641
tt0056788,913,,56639
tt0056789,70371,,32584
tt0056790,79508,216141,
tt0056791,2705,77475,14915
tt0056792,24608,,
tt0056793,54471,271031,40066
tt0057729,14009,77137,4042
tt0057730,962,76224,4044
tt0057731,4547,78390,
tt0057732,14122,77629,57565
tt0057733,4482,71528,826
tt0057734,22697,,
tt0057735,19326,,
tt0057736,16364,,58032
tt0057738,115537,250134,56467
tt0057739,23525,,
tt0057740,28549,,
tt0057741,3753,294774,27327
tt0057742,11053,73477,16103
tt0057743,14079,,75045
tt0057744,13966,,
tt0057746,,,79902
tt0057747,15284,,
tt0057748,2886,70417,17401
tt0057750,12029,252365,57587
tt0057751,1921,77345,4041
tt0057752,2413,71653,1471
tt0057753,16082,79293,13750
tt0057754,25360,,27709
tt0057755,11142,72302,16057
tt0057756,14593,74432,73244
tt0057757,14364,76185,29534
tt0057758,257220,430963,74449
tt0057760,12128,,27514
tt0057761,17583,,78793
tt0057763,3680,406251,76484
tt0057765,210,75663,2132
tt0057766,7356,,41830
tt0057767,1349,,15708
tt0057768,12419,320312,
tt0057770,5945,,
tt0057772,17521,,76567
tt0057773,1712,77280,3884
tt0057774,11218,71660,
tt0057775,100532,362655,
tt0057779,10687,77441,
tt0057780,12986,76069,
tt0057781,16233,,56880
tt0057782,13489,,60745
tt0057783,41225,171581,
tt0057784,11652,70634,31213
tt0057785,3333,76607,7038
tt0057786,3454,72428,
tt0057789,56762,,
tt0057790,891,77964,3474
tt0057792,24739,,27710
tt0057793,13905,72582,21552
tt0057794,5558,,74752
tt0057795,6454,,
tt0057796,13268,82418,36783
tt0057798,321,77301,3679
tt0057799,13140,,74765
tt0057800,62421,249177,
tt0057801,10540,286649,42369
tt0057802,4867,,
tt0057803,6632,,56712
tt0057826,304138,,
tt0058789,22172,106301,
tt0058790,13531,75993,18686
tt0058791,11577,77581,3774
tt0058792,13818,72699,
tt0058793,3663,,26139
tt0058794,11306,,58483
tt0058795,3056,77077,53675
tt0058796,881,70366,812
tt0058797,12875,77395,6056
tt0058800,1062,73154,4658
tt0058801,2223,76980,3776
tt0058802,24795,,
tt0058803,26582,,
tt0058804,29068,,51832
tt0058805,4455,70386,4340
tt0058806,1580,71041,4045
tt0058807,6153,105441,18687
tt0058808,609,78101,2124
tt0058811,14458,77380,24563
tt0058812,4068,71635,1475
tt0058813,24543,,
tt0058814,14404,77211,1901
tt0058815,1660,77388,2000
tt0058816,4899,77213,2127
tt0058817,8853,81341,34906
tt0058818,16204,,59145
tt0058819,7017,,4376
tt0058820,16246,,49665
tt0058821,2735,76606,10881
tt0058822,11773,76650,
tt0058823,5297,,28902
tt0058824,3051,72923,1483
tt0058825,13504,76489,11914
tt0058826,14648,73753,42991
tt0058827,22502,,
tt0058828,14056,,24093
tt0058829,5514,70751,
tt0058830,11230,77227,9284
tt0058831,14198,,
tt0058832,13592,72314,
tt0058833,14431,,
tt0058834,30487,,74711
tt0058835,12497,77325,
tt0058836,1350,71015,18808
tt0058837,10226,,
tt0058839,20363,402741,
tt0058840,15540,71201,10051
tt0058841,13298,263925,
tt0058842,12475,87271,
tt0058843,12566,,71142
tt0058844,11912,77310,
tt0058845,78062,265930,
tt0058847,4752,77046,21913
tt0058849,12133,73987,
tt0058850,5342,77037,17430
tt0058851,4766,163781,90883
tt0058852,10894,,23860
tt0058853,11303,71836,28861
tt0058854,12808,,
tt0058855,10929,71637,3515
tt0058856,24314,273970,
tt0058875,,374796,
tt0059223,75170,,
tt0059352,85341,144581,
tt0059962,17932,242831,53366
tt0059963,122,78429,15062
tt0059966,6234,76361,14813
tt0059967,25118,313512,50881
tt0059968,2287,77871,975
tt0059969,31073,,
tt0059971,30084,,17411
tt0059972,13341,74164,6091
tt0059973,486,70818,3650
tt0059974,25862,,
tt0059975,3642,78433,30221
tt0059976,10985,76742,
tt0059977,4530,77094,39437
tt0059978,2883,73599,13129
tt0059979,29697,,
tt0059980,23215,,
tt0059981,64443,,
tt0059982,503,77131,7129
tt0059983,10846,76482,
tt0059984,2579,76831,76394
tt0059985,11097,78757,13362
tt0059986,78311,127751,
tt0059987,24415,,
tt0059988,1099,77028,4375
tt0059990,42100,143611,92395
tt0059991,31867,77271,3777
tt0059992,29203,76562,
tt0059993,73764,,
tt0059994,27452,,41277
tt0059995,930,74088,16296
tt0059996,13797,74931,19363
tt0059997,2830,77540,15850
tt0059998,17474,,
tt0059999,21773,77482,9899
tt0060002,31216,,
tt0060003,602,77383,56425
tt0060004,11167,76209,6238
tt0060005,,72585,79728
tt0060006,83422,249483,
tt0060007,13830,116101,63270
tt0060009,4357,77231,3620
tt0060010,7626,72109,4047
tt0060011,7346,72701,20986
tt0060012,10786,71451,
tt0060013,10829,77930,24045
tt0060014,,262789,
tt0060015,6509,,60592
tt0060016,7383,,79698
tt0060017,13475,,59859
tt0060018,13908,76959,2148
tt0060019,327500,,
tt0060020,17604,,79303
tt0060021,17449,,74733
tt0060022,27092,72250,
tt0060024,5404,78612,56713
tt0060025,10762,75742,9552
tt0060026,3303,76830,
tt0060027,28629,381824,53364
tt0060028,253,77526,490
tt0060029,14603,299185,33258
tt0060030,13823,76655,3723
tt0060032,28058,,59421
tt0060033,10808,70550,18417
tt0060034,1925,70773,1503
tt0060035,550,76766,7824
tt0060036,103,77268,1135
tt0060037,4979,77763,
tt0060038,3425,73567,8972
tt0060039,111684,365346,49184
tt0060040,259484,,
tt0060329,101393,189581,
tt0061229,13551,,27473
tt0061230,,81470,
tt0061232,2635,71010,49958
tt0061233,189,70956,8818
tt0061235,27269,70866,85680
tt0061236,3958,,77956
tt0061237,1029,76833,53386
tt0061238,4371,75132,8758
tt0061239,14672,73379,10634
tt0061240,1027,70657,6057
tt0061241,11988,77415,13901
tt0061242,11369,70393,39927
tt0061243,12531,,56726
tt0061244,16401,75959,
